baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000215193	2123.71382365278	-4.01413597948783	0.0587402640742747	-68.3370434700825	0	0
ENSG00000093010	778.507432028025	-2.96711237613922	0.0702738020870792	-42.2221694005192	0	0
ENSG00000234409	1031.4231619989	-3.02059727664962	0.062734305874762	-48.1490507391556	0	0
ENSG00000185252	813.975921759142	-2.84324978101234	0.0668381731295894	-42.539310215731	0	0
ENSG00000099937	431.645563512709	-2.90723729531517	0.0908036972629035	-32.016728205437	6.38007838617607e-225	3.35609602779672e-224
ENSG00000100038	8.16762704335858	-3.14415959270556	0.69984473118281	-4.49265308805226	7.03413190509002e-06	1.01165043129385e-05
ENSG00000100121	1075.11564410449	-4.37967062572532	0.0886981665354359	-49.3772396521364	0	0
ENSG00000133519	1.83398071359649	-4.32403108863695	1.5681746075363	-2.75736583659536	0.00582691194209432	0.00728838496991603
ENSG00000189269	219.549248759886	-2.59415958635916	0.116020003826447	-22.3595888708961	9.74058502597055e-111	3.3697159008763e-110
ENSG00000187792	548.390396447362	-3.62373853172321	0.0980058243519176	-36.9747263051546	2.91827897171056e-299	1.83708053301124e-298
ENSG00000099994	1353.55276953417	-3.19123989609197	0.0580083060017815	-55.0134992046478	0	0
ENSG00000138867	1154.3939968233	-3.57969982901355	0.0685900084540916	-52.1898146638879	0	0
ENSG00000100028	474.373615998264	-3.36462141993965	0.0977774009709639	-34.4110334957544	1.72446114468985e-259	9.73813352295446e-259
ENSG00000206069	2160.16459649045	-3.83778625677748	0.0557486898396141	-68.8408331714803	0	0
ENSG00000100219	426.235383631266	-3.56613412901422	0.10873181176371	-32.7975232930355	6.38686167002943e-236	3.45430264970606e-235
ENSG00000183762	338.750859027095	-2.18524950857511	0.0862741204441964	-25.3291427061093	1.52571532865274e-141	6.10286131461096e-141
ENSG00000182944	112.424682695884	-2.38310933837777	0.152744904966752	-15.6018908709034	7.06696062554238e-55	1.83358978392451e-54
ENSG00000128250	204.623209348649	-3.79273665227549	0.165665226131367	-22.8939816812732	5.33403434306764e-116	1.914270268914e-115
ENSG00000099992	220.395862975653	-2.909828479063	0.12522220146833	-23.2373208979154	1.91112173313175e-119	6.98924519545326e-119
ENSG00000242114	126.920779562598	-2.20919758489768	0.138525128191022	-15.9479916297299	2.9420707820659e-57	7.79141503664348e-57
ENSG00000183963	318.914002929398	-3.24836767939405	0.114584685026384	-28.3490562342262	8.59724012071091e-177	3.88392965453293e-176
ENSG00000138942	1349.3726371982	-3.1352972460771	0.0573475246859307	-54.671884501517	0	0
