Geneid	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5
ENSG00000277248	0	0	0	0	0	0
ENSG00000283047	0	0	0	0	0	0
ENSG00000280363	177	181	178	209	204	211
ENSG00000279973	201	199	199	1223	1222	1217
ENSG00000226444	0	0	0	0	0	0
ENSG00000276871	0	0	0	0	0	0
ENSG00000283023	0	0	0	0	0	0
ENSG00000276138	0	0	0	0	0	0
ENSG00000280341	0	0	0	0	0	0
ENSG00000236235	0	0	0	0	0	0
ENSG00000279442	0	0	0	0	0	0
ENSG00000184624	0	0	0	0	0	0
ENSG00000236097	0	0	0	0	0	0
ENSG00000236831	0	0	0	0	0	0
ENSG00000130538	371	375	372	139	145	141
ENSG00000237299	0	0	0	0	0	0
ENSG00000235759	0	0	0	0	0	0
ENSG00000233408	0	0	0	0	0	0
ENSG00000215268	0	0	0	0	0	0
ENSG00000213727	0	0	0	0	0	0
ENSG00000230643	0	0	0	0	0	0
ENSG00000230471	0	0	0	0	0	0
ENSG00000231565	0	0	0	0	0	0
ENSG00000226474	0	0	0	0	0	0
ENSG00000224435	0	0	0	0	0	0
ENSG00000234381	0	0	0	0	0	0
ENSG00000198062	0	0	0	0	0	0
ENSG00000236666	0	0	0	0	0	0
ENSG00000212216	0	0	0	0	0	0
ENSG00000241838	0	0	0	0	0	0
ENSG00000225255	0	0	0	0	0	0
ENSG00000235992	0	0	0	0	0	0
ENSG00000206195	0	0	0	0	0	0
ENSG00000271127	0	0	0	0	0	0
ENSG00000232775	0	0	0	0	0	0
ENSG00000272872	0	0	0	0	0	0
ENSG00000271672	0	0	0	0	0	0
ENSG00000223875	0	0	0	0	0	0
ENSG00000215270	0	0	0	0	0	0
ENSG00000229286	0	0	0	0	0	0
ENSG00000233866	0	0	0	0	0	0
ENSG00000278188	0	0	0	0	0	0
ENSG00000225293	0	0	0	0	0	0
ENSG00000226160	0	0	0	0	0	0
ENSG00000229658	0	0	0	0	0	0
ENSG00000227367	0	0	0	0	0	0
ENSG00000280263	0	0	0	0	0	0
ENSG00000235969	0	0	0	0	0	0
ENSG00000273362	0	0	0	0	0	0
ENSG00000233995	0	0	0	0	0	0
ENSG00000239435	0	0	0	0	0	0
ENSG00000198445	312	292	297	1599	1592	1598
ENSG00000240122	0	0	0	0	0	0
ENSG00000100181	0	0	0	0	0	0
ENSG00000283633	0	0	0	0	0	0
ENSG00000267338	0	0	0	0	0	0
ENSG00000249288	0	0	0	0	0	0
ENSG00000249263	0	0	0	0	0	0
ENSG00000189295	0	0	0	0	0	0
ENSG00000259271	0	0	0	0	0	0
ENSG00000273244	0	0	0	0	0	0
ENSG00000241717	0	0	0	0	0	0
ENSG00000235343	0	0	0	0	0	0
ENSG00000172967	226	223	230	365	352	353
ENSG00000229027	0	0	0	0	0	0
ENSG00000234121	0	0	0	0	0	0
ENSG00000283535	0	0	0	0	0	0
ENSG00000237835	0	0	0	0	0	0
ENSG00000220248	0	0	0	0	0	0
ENSG00000237689	0	0	0	0	0	0
ENSG00000228122	0	0	0	0	0	0
ENSG00000237358	0	0	0	0	0	0
ENSG00000225480	0	0	0	0	0	0
ENSG00000230481	0	0	0	0	0	0
ENSG00000253691	0	0	0	0	0	0
ENSG00000253460	0	0	0	0	0	0
ENSG00000254264	0	0	0	0	0	0
ENSG00000253481	0	0	0	0	0	0
ENSG00000280156	0	0	0	0	0	0
ENSG00000215568	0	0	0	0	0	0
ENSG00000270226	0	0	0	0	0	0
ENSG00000276400	0	0	0	0	0	0
ENSG00000237438	0	0	0	0	0	0
ENSG00000273203	0	0	0	0	0	0
ENSG00000273442	0	0	0	0	0	0
ENSG00000177663	282	270	294	281	278	286
ENSG00000235328	0	0	0	0	0	0
ENSG00000183307	226	217	216	217	203	208
ENSG00000235478	0	0	0	0	0	0
ENSG00000069998	91	85	94	78	74	72
ENSG00000185837	0	0	0	0	0	0
ENSG00000093072	245	228	227	700	709	691
ENSG00000236325	0	0	0	0	0	0
ENSG00000203416	0	0	0	0	0	0
ENSG00000241832	0	0	0	0	0	0
ENSG00000231004	0	0	0	0	0	0
ENSG00000239547	0	0	0	0	0	0
ENSG00000099954	239	242	259	1343	1358	1355
ENSG00000229492	0	0	0	0	0	0
ENSG00000232305	0	0	0	0	0	0
ENSG00000228045	0	0	0	0	0	0
ENSG00000182902	132	137	134	197	189	188
ENSG00000236754	0	0	0	0	0	0
ENSG00000131100	89	100	91	556	537	537
ENSG00000099968	66	72	67	1490	1489	1497
ENSG00000015475	271	292	289	2148	2143	2164
ENSG00000264757	0	0	0	0	0	0
ENSG00000269220	0	0	0	0	0	0
ENSG00000243156	433	495	445	135	138	127
ENSG00000093100	0	0	0	0	0	0
ENSG00000207780	0	0	0	0	0	0
ENSG00000235445	0	0	0	0	0	0
ENSG00000234913	0	0	0	0	0	0
ENSG00000237446	0	0	0	0	0	0
ENSG00000235295	0	0	0	0	0	0
ENSG00000225335	0	0	0	0	0	0
ENSG00000215193	3988	4005	4005	249	259	238
ENSG00000236890	0	0	0	0	0	0
ENSG00000235617	0	0	0	0	0	0
ENSG00000225225	0	0	0	0	0	0
